B._R._Ambedkar;BIRTH;623984;7.17%;16-Apr;14-4-2016;190;477236;5.48%;17-Apr;14-4-2017;313;637265;7.32%;18-Apr;14-4-2018;187;;;;;
Dell_Curry;BIRTH;323623;9.65%;16-Jun;20-6-2016;679;184352;5.50%;17-Jun;13-6-2017;Not in the Top 1000;197671;5.90%;18-Jun;9-6-2018;Not in the Top 1000;;;;;
Dick_Van_Dyke;BIRTH;463151;4.70%;15-Dec;13-12-2015;411;545369;5.53%;17-Jan;26-1-2017;419;730716;7.41%;18-Jan;7-1-2018;215;;;;;
Patrick_Swayze;BIRTH;385009;3.02%;16-Aug;20-8-2016;527;489776;3.85%;17-Aug;6-8-2017;259;536679;4.21%;18-Aug;19-8-2018;234;;;;;
Sarvepalli_Radhakrishnan;BIRTH;470932;11.20%;15-Sep;4-9-2015;287;446230;10.61%;16-Sep;5-9-2016;332;536223;12.75%;17-Sep;5-9-2017;221;748357;17.80%;18-Sep;5-9-2018;117
Subhas_Chandra_Bose;BIRTH;350345;5.48%;16-Jan;23-1-2016;828;309474;4.84%;17-Jan;23-1-2017;Not in the Top 1000;361776;5.66%;18-Jan;23-1-2018;749;;;;;
Swami_Vivekananda;BIRTH;441650;6.50%;16-Jan;12-1-2016;533;408883;6.02%;17-Jan;12-1-2017;693;414305;6.10%;18-Jan;12-1-2018;603;;;;;
Audrey_Hepburn;DEATH;446959;3.04%;15-Dec;10-12-2015;441;537086;3.65%;17-Jan;12-1-2017;429;497756;3.39%;18-Jan;7-1-2018;435;;;;;
John_Lennon;DEATH;594368;4.27%;15-Dec;8-12-2015;242;477471;3.43%;16-Dec;8-12-2016;429;523122;3.75%;17-Dec;8-12-2017;293;;;;;
Kirsty_MacColl;DEATH;243339;14.20%;15-Dec;25-12-2015;Not in the Top 1000;236863;13.82%;16-Dec;25-12-2016;Not in the Top 1000;300509;17.53%;17-Dec;20-12-2017;836;;;;;
420_(cannabis_culture);HIST;1233973;19.32%;16-Apr;20-4-2016;47;789991;12.37%;17-Apr;20-4-2017;110;977506;15.30%;18-Apr;20-4-2018;81;;;;;
April_Fools'_Day;HIST;966284;23.52%;16-Apr;1-4-2016;79;778799;18.96%;17-Apr;1-4-2017;115;702683;17.11%;18-Apr;1-4-2018;152;;;;;
Armenia;HIST;351585;4.08%;16-Apr;2-4-2016;588;284723;3.31%;17-Apr;24-4-2017;911;347676;4.04%;18-Apr;24-4-2018;634;;;;;
Auld_Lang_Syne;HIST;462326;10.63%;15-Dec;31-12-2015;414;451848;10.39%;17-Jan;1-1-2017;583;437932;10.07%;17-Dec;31-12-2017;407;;;;;
Benito_Mussolini;HIST;309256;3.60%;16-Mar;1-3-2016;844;268073;3.12%;17-Mar;23-3-2017;Not in the Top 1000;287873;3.35%;18-Mar;1-3-2018;956;;;;;
Berlin_Wall;HIST;320546;3.65%;16-Feb;7-2-2016;808;318575;3.62%;17-Jan;26-1-2017;Not in the Top 1000;308557;3.51%;18-Feb;6-2-2018;757;;;;;
Bhagat_Singh;HIST;477204;7.00%;16-Feb;14-2-2016;403;648814;9.51%;17-Feb;14-2-2017;206;371981;5.45%;18-Feb;14-2-2018;551;;;;;
Blue_Monday_(date);HIST;266976;24.28%;16-Jan;18-1-2016;Not in the Top 1000;354678;32.26%;17-Jan;16-1-2017;905;244883;22.27%;18-Jan;15-1-2018;Not in the Top 1000;;;;;
Charles_Dickens;HIST;346842;4.78%;15-Dec;1-12-2015;698;307579;4.24%;16-Dec;19-12-2016;924;381886;5.26%;17-Dec;19-12-2017;522;;;;;
Chinese_New_Year;HIST;1264832;20.50%;16-Feb;8-2-2016;61;1165068;18.88%;17-Jan;28-1-2017;107;709316;11.50%;18-Feb;16-2-2018;179;;;;;
Chinese_zodiac;HIST;280652;7.56%;16-Feb;8-2-2016;Not in the Top 1000;327671;8.82%;17-Jan;28-1-2017;Not in the Top 1000;302398;8.14%;18-Feb;16-2-2018;792;;;;;
Cold_War;HIST;408330;3.64%;16-May;9-5-2016;460;394430;3.52%;17-Apr;25-4-2017;464;362189;3.23%;18-Apr;14-4-2018;578;;;;;
Columbus_Day;HIST;414314;19.07%;15-Oct;12-10-2015;369;329669;15.18%;16-Oct;10-10-2016;697;358863;16.52%;17-Oct;9-10-2017;545;;;;;
Constitution_of_India;HIST;223050;3.38%;15-Nov;26-11-2015;Not in the Top 1000;264672;4.02%;16-Nov;25-11-2016;Not in the Top 1000;272616;4.14%;17-Oct;3-10-2017;956;;;;;
Father's_Day;HIST;1035748;27.19%;16-Jun;19-6-2016;71;580943;15.25%;17-Jun;18-6-2017;203;581923;15.28%;18-Jun;17-6-2018;243;;;;;
Flag_of_India;HIST;314694;6.02%;15-Aug;14-8-2015;694;372967;7.13%;16-Aug;15-8-2016;554;351921;6.73%;17-Aug;15-8-2017;513;418531;8.01%;18-Aug;14-8-2018;375
Friendship_Day;HIST;229677;13.17%;15-Aug;2-8-2015;Not in the Top 1000;192831;11.06%;16-Aug;7-8-2016;Not in the Top 1000;151293;8.68%;17-Aug;6-8-2017;Not in the Top 1000;268972;15.42%;18-Aug;5-8-2018;940
Guy_Fawkes;HIST;944021;12.89%;15-Nov;5-11-2015;93;688692;9.41%;16-Nov;5-11-2016;215;804769;10.99%;17-Nov;5-11-2017;117;;;;;
Guy_Fawkes_Night;HIST;651346;17.05%;15-Nov;5-11-2015;174;621892;16.28%;16-Nov;5-11-2016;255;565119;14.79%;17-Nov;5-11-2017;237;;;;;
Ides_of_March;HIST;936792;25.58%;16-Mar;15-3-2016;96;637868;17.42%;17-Mar;15-3-2017;177;594275;16.23%;18-Mar;15-3-2018;240;;;;;
International_Women's_Day;HIST;1009454;23.16%;16-Mar;8-3-2016;84;1188165;27.26%;17-Mar;8-3-2017;48;1205447;27.65%;18-Mar;8-3-2018;60;;;;;
Kazakhstan;HIST;288143;3.05%;16-Aug;11-8-2016;906;342793;3.63%;17-Sep;17-9-2017;548;294368;3.12%;18-Sep;16-9-2018;796;;;;;
Kwanzaa;HIST;747740;18.60%;15-Dec;26-12-2015;169;675753;16.81%;16-Dec;26-12-2016;225;983445;24.47%;17-Dec;26-12-2017;101;;;;;
Labor_Day;HIST;815985;17.31%;15-Sep;7-9-2015;89;536523;11.38%;16-Sep;5-9-2016;228;595018;12.62%;17-Sep;4-9-2017;182;667049;14.15%;18-Sep;3-9-2018;154
Mother's_Day;HIST;1043934;15.43%;16-May;8-5-2016;61;1127090;16.66%;17-May;14-5-2017;100;1244114;18.39%;18-May;13-5-2018;72;;;;;
