Dick_Van_Dyke;BIRTH;44577;5.67%;Dec-15;28/12/2015;411;34377;4.37%;Dec-16;13/12/2016;581;29705;3.78%;Dec-17;24/12/2017;294;;;;;
S._Radhakrishnan;BIRTH;261;4.26%;Jul-16;10/07/2016;Not in the Top 1000;223;3.64%;Aug-17;14/08/2017;Not in the Top 1000;208;3.39%;Sep-18;05/09/2018;Not in the Top 1000;;;;;
Kirsty_MacColl;DEATH;6387;9.96%;Dec-15;24/12/2015;Not in the Top 1000;5604;8.74%;Dec-16;18/12/2016;Not in the Top 1000;7632;11.90%;Dec-17;24/12/2017;836;;;;;
Auld_Lang_Syne;HIST;33793;7.43%;Dec-15;31/12/2015;414;30847;6.78%;Dec-16;31/12/2016;608;33745;7.42%;Dec-17;31/12/2017;407;;;;;
Charles_Dickens;HIST;54583;9.17%;Dec-15;24/12/2015;698;36753;6.17%;Dec-16;23/12/2016;924;38954;6.54%;Dec-17;09/12/2017;522;;;;;
Chinesisches_Neujahrsfest;HIST;111889;15.05%;Feb-16;08/02/2016;Not in the Top 1000;121132;16.30%;Jan-17;27/01/2017;Not in the Top 1000;100990;13.59%;Feb-18;16/02/2018;Not in the Top 1000;;;;;
Kolumbus-Tag;HIST;15923;13.50%;Oct-15;12/10/2015;Not in the Top 1000;16533;14.02%;Oct-16;12/10/2016;Not in the Top 1000;15014;12.73%;Oct-17;09/10/2017;Not in the Top 1000;;;;;
Vatertag;HIST;244846;25.74%;May-16;05/05/2016;Not in the Top 1000;167626;17.62%;May-17;25/05/2017;Not in the Top 1000;158491;16.66%;May-18;10/05/2018;Not in the Top 1000;;;;;
Iden_des_März;HIST;20245;10.06%;Mar-16;15/03/2016;Not in the Top 1000;16504;8.20%;Mar-17;15/03/2017;Not in the Top 1000;16257;8.08%;Mar-18;15/03/2018;Not in the Top 1000;;;;;
Internationaler_Frauentag;HIST;284278;26.22%;Mar-16;08/03/2016;Not in the Top 1000;317298;29.26%;Mar-17;08/03/2017;Not in the Top 1000;244740;22.57%;Mar-18;08/03/2018;Not in the Top 1000;;;;;
