Auld_Lang_Syne;HIST;1567;6.36%;Dec-15;31/12/2015;414;1987;8.06%;Dec-16;31/12/2016;608;1809;7.34%;Dec-17;31/12/2017;407
Tembok_Berlin;HIST;8070;3.61%;Aug-15;13/08/2015;Not in the Top 1000;8909;3.98%;Aug-16;13/08/2016;Not in the Top 1000;9451;4.22%;Aug-17;13/08/2017;Not in the Top 1000
Hari_Ibu;HIST;194995;22.65%;Dec-15;21/12/2015;Not in the Top 1000;180137;20.92%;Dec-16;21/12/2016;Not in the Top 1000;148506;17.25%;Dec-17;21/12/2017;Not in the Top 1000
Hari_Australia;NAT;520;7.19%;Jan-16;26/01/2016;Not in the Top 1000;542;7.49%;Jan-17;26/01/2017;Not in the Top 1000;476;6.58%;Jan-18;26/01/2018;Not in the Top 1000
Halloween;REL;101208;20.02%;Oct-15;31/10/2015;11;87635;17.33%;Oct-16;31/10/2016;20;83335;16.48%;Oct-17;31/10/2017;14
Hari_Pengucapan_Syukur;REL;13706;15.72%;Nov-15;27/11/2015;Not in the Top 1000;13653;15.66%;Nov-16;25/11/2016;Not in the Top 1000;14681;16.84%;Nov-17;24/11/2017;Not in the Top 1000
Natal;REL;64974;19.89%;Dec-15;24/12/2015;Not in the Top 1000;59517;18.22%;Dec-16;25/12/2016;Not in the Top 1000;52716;16.14%;Dec-17;25/12/2017;Not in the Top 1000
Rudolph_the_Red-Nosed_Reindeer;REL;291;15.44%;Dec-15;22/12/2015;749;241;12.79%;Dec-16;24/12/2016;930;246;13.05%;Dec-17;05/12/2017;Not in the Top 1000
Kamis_Putih;REL;30431;23.49%;Mar-16;24/03/2016;Not in the Top 1000;33035;25.50%;Apr-17;13/04/2017;Not in the Top 1000;27829;21.48%;Mar-18;29/03/2018;Not in the Top 1000
Penghargaan_Golden_Globe;TVMOV;703;9.40%;Jan-16;11/01/2016;Not in the Top 1000;629;8.41%;Jan-17;09/01/2017;Not in the Top 1000;613;8.19%;Jan-18;08/01/2018;Not in the Top 1000
