Swami_Vivekananda;BIRTH;441650;6.50%;16-Jan;12-1-2016;533;408883;6.02%;17-Jan;12-1-2017;693;414305;6.10%;18-Jan;12-1-2018;603;;;;;
Kirsty_MacColl;DEATH;243339;14.20%;15-Dec;25-12-2015;Not in the Top 1000;236863;13.82%;16-Dec;25-12-2016;Not in the Top 1000;300509;17.53%;17-Dec;20-12-2017;836;;;;;
Auld_Lang_Syne;HIST;462326;10.63%;15-Dec;31-12-2015;414;451848;10.39%;17-Jan;1-1-2017;583;437932;10.07%;17-Dec;31-12-2017;407;;;;;
Chinese_zodiac;HIST;280652;7.56%;16-Feb;8-2-2016;Not in the Top 1000;327671;8.82%;17-Jan;28-1-2017;Not in the Top 1000;302398;8.14%;18-Feb;16-2-2018;792;;;;;
Cold_War;HIST;408330;3.64%;16-May;9-5-2016;460;394430;3.52%;17-Apr;25-4-2017;464;362189;3.23%;18-Apr;14-4-2018;578;;;;;
Columbus_Day;HIST;414314;19.07%;15-Oct;12-10-2015;369;329669;15.18%;16-Oct;10-10-2016;697;358863;16.52%;17-Oct;9-10-2017;545;;;;;
Flag_of_India;HIST;372967;7.13%;16-Aug;15-8-2016;554;351921;6.73%;17-Aug;15-8-2017;513;418531;8.01%;18-Aug;14-8-2018;375;;;;;
Guy_Fawkes_Night;HIST;651346;17.05%;15-Nov;5-11-2015;174;621892;16.28%;16-Nov;5-11-2016;255;565119;14.79%;17-Nov;5-11-2017;237;;;;;
International_Women's_Day;HIST;1009454;23.16%;16-Mar;8-3-2016;84;1188165;27.26%;17-Mar;8-3-2017;48;1205447;27.65%;18-Mar;8-3-2018;60;;;;;
Mother's_Day;HIST;1043934;15.43%;16-May;8-5-2016;61;1127090;16.66%;17-May;14-5-2017;100;1244114;18.39%;18-May;13-5-2018;72;;;;;
Saint_Valentine;HIST;512255;22.68%;16-Feb;14-2-2016;353;582941;25.81%;17-Feb;14-2-2017;256;542146;24.00%;18-Feb;14-2-2018;280;;;;;
Samhain;HIST;316992;12.43%;15-Oct;31-10-2015;686;303593;11.90%;16-Oct;31-10-2016;835;320775;12.58%;17-Oct;31-10-2017;685;;;;;
United_States_Declaration_of_Independence;HIST;435534;4.79%;16-Jul;4-7-2016;405;422710;4.65%;17-Jul;4-7-2017;416;378527;4.16%;18-Jul;4-7-2018;599;;;;;
Veterans_Day;HIST;694047;25.10%;15-Nov;11-11-2015;157;633481;22.91%;16-Nov;11-11-2016;248;540793;19.56%;17-Nov;11-11-2017;262;;;;;
World_Environment_Day;HIST;244284;15.23%;16-Jun;5-6-2016;Not in the Top 1000;265847;16.57%;17-Jun;5-6-2017;938;222054;13.84%;18-Jun;5-6-2018;Not in the Top 1000;;;;;
Australia_Day;NAT;291340;18.35%;16-Jan;26-1-2016;Not in the Top 1000;284849;17.94%;17-Jan;26-1-2017;Not in the Top 1000;329710;20.77%;18-Jan;26-1-2018;883;;;;;
Burning_Man;NAT;575779;8.93%;15-Sep;7-9-2015;181;575187;8.93%;16-Sep;6-9-2016;192;454598;7.05%;17-Sep;4-9-2017;297;;;;;
Independence_Day_(India);NAT;763791;14.70%;15-Aug;14-8-2015;119;771316;14.84%;16-Aug;15-8-2016;145;925422;17.81%;17-Aug;15-8-2017;85;905103;17.42%;18-Aug;15-8-2018;86
Oktoberfest;NAT;290101;9.02%;15-Sep;19-9-2015;817;298523;9.29%;16-Sep;17-9-2016;784;252730;7.86%;17-Sep;16-9-2017;991;;;;;
Republic_Day_(India);NAT;1116314;24.37%;16-Jan;26-1-2016;96;1022429;22.32%;17-Jan;26-1-2017;143;1057481;23.09%;18-Jan;26-1-2018;99;;;;;
Sweetest_Day;NAT;277218;23.98%;15-Oct;17-10-2015;914;212535;18.38%;16-Oct;15-10-2016;Not in the Top 1000;229928;19.89%;17-Oct;21-10-2017;Not in the Top 1000;;;;;
Ash_Wednesday;REL;736546;21.56%;16-Feb;10-2-2016;201;679288;19.88%;17-Mar;1-3-2017;162;845087;24.73%;18-Feb;14-2-2018;116;;;;;
Boxing_Day;REL;1370140;22.61%;15-Dec;26-12-2015;58;1559247;25.74%;16-Dec;26-12-2016;44;1422028;23.47%;17-Dec;26-12-2017;46;;;;;
Christmas;REL;1496106;17.51%;15-Dec;25-12-2015;45;1358855;15.90%;16-Dec;25-12-2016;55;1264263;14.79%;17-Dec;25-12-2017;63;;;;;
Diwali;REL;1481778;17.31%;15-Nov;11-11-2015;41;1346381;15.73%;16-Oct;30-10-2016;48;1579127;18.45%;17-Oct;19-10-2017;25;;;;;
Eid_al-Fitr;REL;567578;11.68%;16-Jul;6-7-2016;248;548885;11.30%;17-Jun;25-6-2017;222;709677;14.60%;18-Jun;15-6-2018;163;;;;;
Eid_Mubarak;REL;377097;14.29%;16-Jul;6-7-2016;530;348065;13.19%;17-Jun;25-6-2017;543;378556;14.35%;18-Jun;15-6-2018;545;;;;;
Epiphany_(holiday);REL;471043;18.41%;16-Jan;6-1-2016;481;513828;20.09%;17-Jan;6-1-2017;469;397298;15.53%;18-Jan;6-1-2018;648;;;;;
Ganesh_Chaturthi;REL;439783;15.44%;15-Sep;17-9-2015;327;372645;13.09%;16-Sep;5-9-2016;485;351820;12.36%;17-Aug;25-8-2017;514;424443;14.91%;18-Sep;13-9-2018;368
Halloween;REL;2758588;17.53%;15-Oct;31-10-2015;11;2478344;15.75%;16-Oct;31-10-2016;20;2539109;16.14%;17-Oct;31-10-2017;14;;;;;
Hanukkah;REL;1045792;19.34%;15-Dec;7-12-2015;90;1270951;23.50%;16-Dec;25-12-2016;59;1009699;18.67%;17-Dec;13-12-2017;95;;;;;
Jesus;REL;539871;4.01%;15-Dec;25-12-2015;304;537120;3.99%;16-Dec;25-12-2016;336;506197;3.76%;17-Dec;25-12-2017;312;;;;;
Lent;REL;578694;15.42%;16-Feb;10-2-2016;291;557369;14.85%;17-Mar;1-3-2017;251;555312;14.80%;18-Feb;14-2-2018;266;;;;;
Maha_Shivaratri;REL;409399;22.73%;16-Mar;7-3-2016;512;445102;24.72%;17-Feb;24-2-2017;445;420184;23.33%;18-Feb;13-2-2018;442;;;;;
Makar_Sankranti;REL;486231;25.03%;16-Jan;14-1-2016;447;393952;20.28%;17-Jan;14-1-2017;753;437386;22.51%;18-Jan;14-1-2018;539;;;;;
Mardi_Gras;REL;598756;13.86%;16-Feb;9-2-2016;273;627393;14.52%;17-Feb;28-2-2017;224;495193;11.46%;18-Feb;13-2-2018;332;;;;;
Maundy_Thursday;REL;429059;25.06%;16-Mar;24-3-2016;470;440232;25.71%;17-Apr;13-4-2017;361;346566;20.24%;18-Mar;29-3-2018;661;;;;;
Raksha_Bandhan;REL;526689;18.55%;15-Aug;29-8-2015;246;492694;17.35%;16-Aug;18-8-2016;330;435810;15.35%;17-Aug;7-8-2017;320;422164;14.87%;18-Aug;26-8-2018;368
Ramadan;REL;1156870;14.50%;16-Jun;6-6-2016;60;920050;11.53%;17-May;27-5-2017;126;1098888;13.77%;18-May;16-5-2018;88;;;;;
Rudolph_the_Red-Nosed_Reindeer;REL;330553;22.12%;15-Dec;2-12-2015;749;306285;20.50%;16-Dec;11-12-2016;930;255318;17.09%;17-Dec;25-12-2017;Not in the Top 1000;;;;;
Santa_Claus;REL;1089350;18.67%;15-Dec;25-12-2015;84;1119099;19.18%;16-Dec;25-12-2016;78;899250;15.41%;17-Dec;25-12-2017;109;;;;;
Thanksgiving;REL;1998489;21.63%;15-Nov;26-11-2015;26;1981063;21.44%;16-Nov;24-11-2016;48;1582239;17.13%;17-Nov;23-11-2017;31;;;;;
Yule;REL;314383;19.14%;15-Dec;26-12-2015;824;350309;21.33%;16-Dec;21-12-2016;729;303943;18.51%;17-Dec;21-12-2017;821;;;;;
Persimmon;SCI;283766;7.58%;15-Nov;9-11-2015;892;264839;7.07%;16-Nov;7-11-2016;Not in the Top 1000;295546;7.89%;17-Nov;19-11-2017;823;;;;;
Pi;SCI;473709;6.35%;16-Mar;14-3-2016;393;451860;6.05%;17-Mar;14-3-2017;399;492347;6.60%;18-Mar;14-3-2018;335;;;;;
Winter_solstice;SCI;437950;18.92%;15-Dec;22-12-2015;452;357337;15.44%;16-Dec;21-12-2016;700;357372;15.44%;17-Dec;21-12-2017;590;;;;;
Australian_Open;SPORT;371815;13.35%;16-Jan;31-1-2016;724;450308;16.16%;17-Jan;29-1-2017;587;399399;14.34%;18-Jan;28-1-2018;639;;;;;
Juan_Martín_del_Potro;SPORT;382258;13.70%;16-Aug;14-8-2016;535;327023;11.72%;17-Sep;7-9-2017;614;431231;15.46%;18-Sep;9-9-2018;358;;;;;
Kentucky_Derby;SPORT;349105;15.65%;16-May;7-5-2016;621;397381;17.81%;17-May;6-5-2017;546;308018;13.81%;18-May;5-5-2018;873;;;;;
Lance_Armstrong;SPORT;277804;5.55%;16-Jul;24-7-2016;942;267048;5.34%;17-Jul;23-7-2017;956;231577;4.63%;18-Jul;29-7-2018;Not in the Top 1000;;;;;
List_of_NBA_players_with_most_championships;SPORT;244289;7.06%;16-Jun;20-6-2016;Not in the Top 1000;282585;8.16%;17-Jun;13-6-2017;830;285439;8.25%;18-Jun;9-6-2018;926;;;;;
List_of_Super_Bowl_champions;SPORT;1680017;9.07%;16-Jan;25-1-2016;43;1750506;9.45%;17-Jan;23-1-2017;45;1633853;8.82%;18-Jan;22-1-2018;52;;;;;
Masters_Tournament;SPORT;480286;18.43%;16-Apr;10-4-2016;330;464594;17.82%;17-Apr;9-4-2017;324;556688;21.36%;18-Apr;8-4-2018;244;;;;;
National_Football_League;SPORT;329519;4.70%;16-Jan;17-1-2016;924;314251;4.49%;17-Jan;23-1-2017;Not in the Top 1000;386298;5.51%;18-Jan;10-1-2018;668;;;;;
Royal_Challengers_Bangalore;SPORT;297624;11.86%;16-Apr;12-4-2016;829;290951;11.59%;17-Apr;5-4-2017;864;356975;14.23%;18-Apr;8-4-2018;593;;;;;
Secretariat_(horse);SPORT;303165;7.91%;16-May;8-5-2016;826;293632;7.67%;17-May;6-5-2017;960;272539;7.12%;18-Jun;9-6-2018;999;;;;;
Steve_Kerr;SPORT;452273;8.02%;16-Jun;20-6-2016;360;577031;10.23%;17-Jun;13-6-2017;206;543463;9.64%;18-Jun;9-6-2018;267;;;;;
Tour_de_France;SPORT;499044;13.48%;16-Jul;24-7-2016;309;487581;13.17%;17-Jul;23-7-2017;309;425153;11.48%;18-Jul;29-7-2018;484;;;;;
Triple_Crown_of_Thoroughbred_Racing;SPORT;286159;16.15%;16-May;7-5-2016;921;294518;16.63%;17-May;6-5-2017;957;261716;14.77%;18-May;19-5-2018;Not in the Top 1000;;;;;
A_Christmas_Carol;TVMOV;404072;13.71%;15-Dec;25-12-2015;531;425488;14.44%;16-Dec;24-12-2016;519;407727;13.83%;17-Dec;25-12-2017;450;;;;;
A_Christmas_Story;TVMOV;501552;21.04%;15-Dec;25-12-2015;353;496872;20.85%;16-Dec;25-12-2016;391;555169;23.29%;17-Dec;25-12-2017;263;;;;;
Academy_Award_for_Best_Picture;TVMOV;496218;5.52%;16-Feb;28-2-2016;379;607287;6.75%;17-Feb;27-2-2017;239;553925;6.16%;18-Mar;5-3-2018;270;;;;;
