Kirsty_MacColl;DEATH;6387;9.96%;Dec-15;24-12-15;Not in the Top 1000;5604;8.74%;Dec-16;18-12-16;Not in the Top 1000;7632;11.90%;Dec-17;24-12-17;836;;;;;
Auld_Lang_Syne;HIST;33793;7.43%;Dec-15;31-12-15;414;30847;6.78%;Dec-16;31-12-16;608;33745;7.42%;Dec-17;31-12-17;407;;;;;
Kolumbus-Tag;HIST;15923;13.50%;Oct-15;12-10-15;Not in the Top 1000;16533;14.02%;Oct-16;12-10-16;Not in the Top 1000;15014;12.73%;Oct-17;09-10-17;Not in the Top 1000;;;;;
Internationaler_Frauentag;HIST;284278;26.22%;Mar-16;08-03-16;Not in the Top 1000;317298;29.26%;Mar-17;08-03-17;Not in the Top 1000;244740;22.57%;Mar-18;08-03-18;Not in the Top 1000;;;;;
Muttertag;HIST;295971;23.82%;May-16;08-05-16;Not in the Top 1000;251624;20.25%;May-17;14-05-17;Not in the Top 1000;228186;18.37%;May-18;13-05-18;Not in the Top 1000;;;;;
Valentin_von_Terni;HIST;31535;21.26%;Feb-16;14-02-16;Not in the Top 1000;38199;25.76%;Feb-17;14-02-17;Not in the Top 1000;25723;17.35%;Feb-18;14-02-18;Not in the Top 1000;;;;;
Samhain;HIST;39654;12.12%;Oct-15;31-10-15;686;45444;13.89%;Oct-16;31-10-16;835;48025;14.68%;Oct-17;31-10-17;685;;;;;
Veterans_Day;HIST;11013;18.29%;Nov-15;11-11-15;157;8909;14.79%;Nov-16;11-11-16;248;7362;12.23%;Nov-17;11-11-17;262;;;;;
Australia_Day;NAT;17187;22.15%;Jan-16;26-01-16;Not in the Top 1000;11904;15.34%;Jan-17;26-01-17;Not in the Top 1000;13594;17.52%;Jan-18;26-01-18;883;;;;;
Burning_Man;NAT;38787;6.44%;Sep-15;16-09-15;181;41118;6.83%;Sep-16;06-09-16;192;39589;6.57%;Sep-17;04-09-17;297;48925;8.13%;Sep-18;03-09-18;880
Unabhängigkeitstag_(Indien);NAT;1483;8.55%;Aug-16;15-08-16;Not in the Top 1000;1984;11.44%;Aug-17;15-08-17;Not in the Top 1000;2062;11.89%;Aug-18;15-08-18;Not in the Top 1000;;;;;
Oktoberfest;NAT;163532;12.84%;Sep-15;20-09-15;817;134101;10.53%;Sep-16;17-09-16;784;124261;9.76%;Sep-17;16-09-17;991;120105;9.43%;Sep-18;23-09-18;Not in the Top 1000
Tag_der_Republik_(Indien);NAT;2198;13.53%;Jan-16;26-01-16;Not in the Top 1000;2249;13.84%;Jan-17;26-01-17;Not in the Top 1000;2072;12.75%;Jan-18;26-01-18;Not in the Top 1000;;;;;
