Auld_Lang_Syne;HIST;1567;6.36%;Dec-15;31-12-15;414;1987;8.06%;Dec-16;31-12-16;608;1809;7.34%;Dec-17;31-12-17;407
Hari_Ibu;HIST;194995;22.65%;Dec-15;21-12-15;Not in the Top 1000;180137;20.92%;Dec-16;21-12-16;Not in the Top 1000;148506;17.25%;Dec-17;21-12-17;Not in the Top 1000
Valentinus;HIST;6424;23.95%;Feb-16;14-02-16;Not in the Top 1000;6536;24.37%;Feb-17;14-02-17;Not in the Top 1000;4747;17.70%;Feb-18;14-02-18;Not in the Top 1000
Hari_Republik_(India);NAT;2141;8.22%;Aug-16;15-08-16;Not in the Top 1000;3221;12.36%;Aug-17;15-08-17;Not in the Top 1000;2406;9.23%;Aug-18;15-08-18;Not in the Top 1000
Rabu_Abu;REL;29512;18.79%;Feb-16;10-02-16;Not in the Top 1000;32588;20.75%;Mar-17;01-03-17;Not in the Top 1000;41676;26.53%;Feb-18;14-02-18;Not in the Top 1000
Natal;REL;64974;19.89%;Dec-15;24-12-15;Not in the Top 1000;59517;18.22%;Dec-16;25-12-16;Not in the Top 1000;52716;16.14%;Dec-17;25-12-17;Not in the Top 1000
Idulfitri;REL;42138;19.27%;Jul-16;06-07-16;Not in the Top 1000;29790;13.63%;Jun-17;24-06-17;Not in the Top 1000;31709;14.50%;Jun-18;14-06-18;Not in the Top 1000
Halloween;REL;101208;20.02%;Oct-15;31-10-15;11;87635;17.33%;Oct-16;31-10-16;20;83335;16.48%;Oct-17;31-10-17;14
Mardi_Gras;REL;793;6.83%;Feb-16;10-02-16;273;1115;9.60%;Feb-17;20-02-17;224;836;7.20%;Feb-18;27-02-18;332
Kamis_Putih;REL;30431;23.49%;Mar-16;24-03-16;Not in the Top 1000;33035;25.50%;Apr-17;13-04-17;Not in the Top 1000;27829;21.48%;Mar-18;29-03-18;Not in the Top 1000
Ramadan;REL;44387;13.86%;Jun-16;05-06-16;60;42600;13.30%;May-17;26-05-17;126;60664;18.95%;May-18;16-05-18;88
Rudolph_the_Red-Nosed_Reindeer;REL;291;15.44%;Dec-15;22-12-15;749;241;12.79%;Dec-16;24-12-16;930;246;13.05%;Dec-17;05-12-17;Not in the Top 1000
Hari_Pengucapan_Syukur;REL;13706;15.72%;Nov-15;27-11-15;Not in the Top 1000;13653;15.66%;Nov-16;25-11-16;Not in the Top 1000;14681;16.84%;Nov-17;24-11-17;Not in the Top 1000
Titik_balik_matahari_musim_dingin;SCI;440;10.49%;Dec-15;21-12-15;Not in the Top 1000;341;8.13%;Dec-16;21-12-16;Not in the Top 1000;310;7.39%;Dec-17;21-12-17;Not in the Top 1000
Penghargaan_Golden_Globe;TVMOV;703;9.40%;Jan-16;11-01-16;Not in the Top 1000;629;8.41%;Jan-17;09-01-17;Not in the Top 1000;613;8.19%;Jan-18;08-01-18;Not in the Top 1000
Simon_Cowell;TVMOV;7851;6.83%;Jul-16;20-07-16;549;8812;7.66%;Jun-17;03-06-17;348;6278;5.46%;Jun-18;13-06-18;554
