Kartini;BIRTH;347099;19.58%;Apr-16;21-04-16;Not in the Top 1000;295037;16.64%;Apr-17;21-04-17;Not in the Top 1000;289951;16.36%;Apr-18;21-04-18;Not in the Top 1000;;;;;
Ki_Hadjar_Dewantara;BIRTH;44509;5.22%;May-16;02-05-16;Not in the Top 1000;46236;5.42%;May-17;02-05-17;Not in the Top 1000;43623;5.12%;May-18;02-05-18;Not in the Top 1000;;;;;
Perang_Dunia_II;HIST;93377;4.96%;Aug-15;25-08-15;Not in the Top 1000;105952;5.63%;Aug-16;23-08-16;Not in the Top 1000;92668;4.93%;Aug-17;09-08-17;Not in the Top 1000;;;;;
Perang_Dunia_I;HIST;68612;5.22%;Jan-16;11-01-16;Not in the Top 1000;66820;5.08%;Jan-17;11-01-17;Not in the Top 1000;74660;5.68%;Jan-18;09-01-18;Not in the Top 1000;;;;;
Kalimantan_Utara;HIST;39840;5.04%;Aug-15;04-08-15;Not in the Top 1000;36715;4.65%;Aug-16;01-08-16;Not in the Top 1000;33915;4.29%;Sep-17;06-09-17;Not in the Top 1000;;;;;
Pertumbuhan_ekonomi;HIST;61891;7.20%;Aug-15;11-08-15;Not in the Top 1000;50848;5.92%;Aug-16;02-08-16;Not in the Top 1000;50724;5.90%;Aug-17;22-08-17;Not in the Top 1000;;;;;
Sejarah_Internet;HIST;112051;7.92%;Aug-15;11-08-15;Not in the Top 1000;120348;8.51%;Aug-16;02-08-16;Not in the Top 1000;105327;7.45%;Aug-17;01-08-17;Not in the Top 1000;;;;;
Ilmu_ekonomi;HIST;58862;7.45%;Aug-15;05-08-15;Not in the Top 1000;55275;6.99%;Aug-16;01-08-16;Not in the Top 1000;50707;6.41%;Aug-17;01-08-17;Not in the Top 1000;;;;;
Marsinah;HIST;45692;9.16%;Aug-15;11-08-15;Not in the Top 1000;35834;7.18%;Aug-16;02-08-16;Not in the Top 1000;32236;6.46%;Aug-17;15-08-17;Not in the Top 1000;;;;;
Peristiwa_10_November;HIST;105920;6.28%;Nov-15;09-11-15;Not in the Top 1000;134457;7.97%;Nov-16;10-11-16;Not in the Top 1000;109482;6.49%;Nov-17;10-11-17;Not in the Top 1000;;;;;
Daftar_anggota_BPUPKI-PPKI;HIST;58780;7.56%;Aug-16;08-08-16;Not in the Top 1000;77987;10.04%;Aug-17;01-08-17;Not in the Top 1000;83129;10.70%;Aug-18;01-08-18;Not in the Top 1000;;;;;
Tragedi_Semanggi;HIST;30065;7.19%;Aug-15;11-08-15;Not in the Top 1000;28298;6.77%;Aug-16;09-08-16;Not in the Top 1000;25025;5.99%;Aug-17;08-08-17;Not in the Top 1000;29763;7.12%;Aug-18;07-08-18;Not in the Top 1000
Republik_Maluku_Selatan;HIST;34449;6.46%;Aug-16;02-08-16;Not in the Top 1000;35577;6.67%;Aug-17;01-08-17;Not in the Top 1000;46017;8.63%;Aug-18;01-08-18;Not in the Top 1000;;;;;
Mohammad_Yamin;HIST;36678;6.80%;Aug-16;10-08-16;Not in the Top 1000;33802;6.26%;Aug-17;17-08-17;Not in the Top 1000;31211;5.78%;Aug-18;28-08-18;Not in the Top 1000;;;;;
Otonomi_daerah;HIST;98389;5.72%;Nov-15;30-11-15;Not in the Top 1000;112704;6.55%;Nov-16;28-11-16;Not in the Top 1000;97319;5.65%;Nov-17;27-11-17;Not in the Top 1000;;;;;
Basuki_Abdullah;HIST;17016;5.82%;Aug-16;02-08-16;Not in the Top 1000;17487;5.98%;Aug-17;02-08-17;Not in the Top 1000;16810;5.75%;Aug-18;07-08-18;Not in the Top 1000;;;;;
Serangan_11_September_2001;HIST;26876;6.15%;Sep-15;11-09-15;Not in the Top 1000;26395;6.04%;Sep-16;11-09-16;Not in the Top 1000;24855;5.69%;Sep-17;11-09-17;Not in the Top 1000;;;;;
Pertahanan_negara;HIST;25799;5.36%;Sep-15;29-09-15;Not in the Top 1000;29401;6.11%;Sep-16;19-09-16;Not in the Top 1000;25979;5.40%;Sep-17;25-09-17;Not in the Top 1000;;;;;
Sutomo;HIST;23623;5.37%;Nov-15;10-11-15;Not in the Top 1000;24458;5.56%;Nov-16;10-11-16;Not in the Top 1000;28712;6.53%;Nov-17;10-11-17;Not in the Top 1000;;;;;
Agus_Salim;HIST;18575;4.68%;Aug-16;18-08-16;Not in the Top 1000;19944;5.03%;Aug-17;17-08-17;Not in the Top 1000;19136;4.83%;Aug-18;12-08-18;Not in the Top 1000;;;;;
Hari_Ibu;HIST;194995;22.65%;Dec-15;21-12-15;Not in the Top 1000;180137;20.92%;Dec-16;21-12-16;Not in the Top 1000;148506;17.25%;Dec-17;21-12-17;Not in the Top 1000;;;;;
Tahun_Baru_Imlek;HIST;100864;22.10%;Feb-16;08-02-16;Not in the Top 1000;75886;16.63%;Jan-17;28-01-17;Not in the Top 1000;62577;13.71%;Feb-18;16-02-18;Not in the Top 1000;;;;;
April_Mop;HIST;212367;38.10%;Apr-16;01-04-16;Not in the Top 1000;120898;21.69%;Apr-17;01-04-17;Not in the Top 1000;94348;16.93%;Apr-18;01-04-18;Not in the Top 1000;;;;;
Habis_Gelap_Terbitlah_Terang;HIST;32831;14.41%;Apr-16;21-04-16;Not in the Top 1000;39604;17.39%;Apr-17;21-04-17;Not in the Top 1000;28857;12.67%;Apr-18;21-04-18;Not in the Top 1000;;;;;
Soesalit_Djojoadhiningrat;HIST;16749;22.07%;Apr-16;21-04-16;Not in the Top 1000;17274;22.76%;Apr-17;21-04-17;Not in the Top 1000;12275;16.17%;Apr-18;21-04-18;Not in the Top 1000;;;;;
