Kirsty_MacColl;DEATH;6387;9.96%;Dec-15;24/12/2015;Not in the Top 1000;5604;8.74%;Dec-16;18/12/2016;Not in the Top 1000;7632;11.90%;Dec-17;24/12/2017;836;;;;;
Kolumbus-Tag;HIST;15923;13.50%;Oct-15;12/10/2015;Not in the Top 1000;16533;14.02%;Oct-16;12/10/2016;Not in the Top 1000;15014;12.73%;Oct-17;09/10/2017;Not in the Top 1000;14835;12.58%;Oct-18;12/10/2018;Not in the Top 1000
Samhain;HIST;45444;13.89%;Oct-16;31/10/2016;835;48025;14.68%;Oct-17;31/10/2017;685;52342;16.00%;Oct-18;31/10/2018;651;;;;;
Veterans_Day;HIST;11013;18.29%;Nov-15;11/11/2015;157;8909;14.79%;Nov-16;11/11/2016;248;7362;12.23%;Nov-17;11/11/2017;262;;;;;
Kwanzaa;HIST;10716;12.44%;Dec-15;24/12/2015;169;9485;11.01%;Dec-16;24/12/2016;225;12214;14.18%;Dec-17;24/12/2017;101;;;;;
Valentin_von_Terni;HIST;31535;21.26%;Feb-16;14/02/2016;Not in the Top 1000;38199;25.76%;Feb-17;14/02/2017;Not in the Top 1000;25723;17.35%;Feb-18;14/02/2018;Not in the Top 1000;;;;;
Internationaler_Frauentag;HIST;284278;26.22%;Mar-16;08/03/2016;Not in the Top 1000;317298;29.26%;Mar-17;08/03/2017;Not in the Top 1000;244740;22.57%;Mar-18;08/03/2018;Not in the Top 1000;;;;;
Iden_des_März;HIST;20245;10.06%;Mar-16;15/03/2016;Not in the Top 1000;16504;8.20%;Mar-17;15/03/2017;Not in the Top 1000;16257;8.08%;Mar-18;15/03/2018;Not in the Top 1000;;;;;
Muttertag;HIST;295971;23.82%;May-16;08/05/2016;Not in the Top 1000;251624;20.25%;May-17;14/05/2017;Not in the Top 1000;228186;18.37%;May-18;13/05/2018;Not in the Top 1000;;;;;
Unabhängigkeitstag_(Vereinigte_Staaten);NAT;79656;12.93%;Jul-16;04/07/2016;Not in the Top 1000;83043;13.48%;Jul-17;04/07/2017;Not in the Top 1000;88376;14.35%;Jul-18;04/07/2018;Not in the Top 1000;;;;;
Black_Friday;NAT;419891;21.35%;Nov-15;27/11/2015;Not in the Top 1000;571853;29.07%;Nov-16;25/11/2016;Not in the Top 1000;560276;28.49%;Nov-17;24/11/2017;Not in the Top 1000;;;;;
Festivus;NAT;2311;15.19%;Dec-15;26/12/2015;196;3331;21.89%;Dec-16;24/12/2016;335;2562;16.84%;Dec-17;24/12/2017;385;;;;;
Tag_der_Republik_(Indien);NAT;2198;13.53%;Jan-16;26/01/2016;Not in the Top 1000;2249;13.84%;Jan-17;26/01/2017;Not in the Top 1000;2072;12.75%;Jan-18;26/01/2018;Not in the Top 1000;;;;;
Groundhog_Day;NAT;30158;14.82%;Feb-16;02/02/2016;90;34328;16.87%;Feb-17;02/02/2017;142;39175;19.25%;Feb-18;02/02/2018;203;;;;;
Australia_Day;NAT;17187;22.15%;Jan-16;26/01/2016;Not in the Top 1000;11904;15.34%;Jan-17;26/01/2017;Not in the Top 1000;13594;17.52%;Jan-18;26/01/2018;883;;;;;
ANZAC_Day;NAT;12130;11.42%;Apr-16;25/04/2016;Not in the Top 1000;13721;12.92%;Apr-17;25/04/2017;Not in the Top 1000;14403;13.56%;Apr-18;25/04/2018;Not in the Top 1000;;;;;
Raksha_Bandhan;REL;3267;13.94%;Aug-16;18/08/2016;330;3238;13.82%;Aug-17;07/08/2017;320;4294;18.32%;Aug-18;26/08/2018;368;;;;;
Halloween;REL;636606;20.25%;Oct-15;31/10/2015;11;560836;17.84%;Oct-16;31/10/2016;20;573439;18.24%;Oct-17;31/10/2017;14;;;;;
Diwali;REL;55845;17.20%;Nov-15;11/11/2015;41;50518;15.56%;Oct-16;30/10/2016;48;64195;19.77%;Oct-17;19/10/2017;25;;;;;
Thanksgiving;REL;226576;17.03%;Nov-15;26/11/2015;26;241057;18.12%;Nov-16;24/11/2016;48;198316;14.91%;Nov-17;23/11/2017;31;;;;;
Weihnachten;REL;344452;20.72%;Dec-15;23/12/2015;Not in the Top 1000;364675;21.94%;Dec-16;24/12/2016;Not in the Top 1000;274721;16.53%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Weihnachtsmann;REL;229339;22.30%;Dec-15;24/12/2015;Not in the Top 1000;214612;20.86%;Dec-16;24/12/2016;Not in the Top 1000;194271;18.89%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Boxing_Day;REL;82867;26.33%;Dec-15;26/12/2015;58;55121;17.52%;Dec-16;26/12/2016;44;69771;22.17%;Dec-17;26/12/2017;46;;;;;
The_Twelve_Days_of_Christmas;REL;14169;19.75%;Dec-15;24/12/2015;Not in the Top 1000;14305;19.94%;Dec-16;24/12/2016;Not in the Top 1000;12348;17.21%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Chanukka;REL;132883;15.61%;Dec-15;07/12/2015;Not in the Top 1000;165413;19.43%;Dec-16;24/12/2016;Not in the Top 1000;157729;18.52%;Dec-17;12/12/2017;Not in the Top 1000;;;;;
Nikolaus_von_Myra;REL;256756;18.31%;Dec-15;06/12/2015;Not in the Top 1000;282557;20.15%;Dec-16;06/12/2016;Not in the Top 1000;278677;19.87%;Dec-17;06/12/2017;Not in the Top 1000;;;;;
A_Christmas_Carol;REL;61046;21.30%;Dec-15;23/12/2015;531;47846;16.70%;Dec-16;23/12/2016;519;44393;15.49%;Dec-17;18/12/2017;450;;;;;
Liste_fremdsprachiger_Weihnachtslieder;REL;29325;21.05%;Dec-15;24/12/2015;Not in the Top 1000;26006;18.66%;Dec-16;24/12/2016;Not in the Top 1000;27654;19.85%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
Julfest;REL;46471;17.14%;Dec-15;24/12/2015;Not in the Top 1000;56482;20.84%;Dec-16;24/12/2016;Not in the Top 1000;56529;20.85%;Dec-17;24/12/2017;Not in the Top 1000;;;;;
