Swami_Vivekananda;BIRTH;441650;6.50%;16-Jan;12-1-2016;533;408883;6.02%;17-Jan;12-1-2017;693;414305;6.10%;18-Jan;12-1-2018;603;;;;;
Kirsty_MacColl;DEATH;243339;14.20%;15-Dec;25-12-2015;Not in the Top 1000;236863;13.82%;16-Dec;25-12-2016;Not in the Top 1000;300509;17.53%;17-Dec;20-12-2017;836;;;;;
Columbus_Day;HIST;414314;19.07%;15-Oct;12-10-2015;369;329669;15.18%;16-Oct;10-10-2016;697;358863;16.52%;17-Oct;9-10-2017;545;;;;;
Samhain;HIST;316992;12.43%;15-Oct;31-10-2015;686;303593;11.90%;16-Oct;31-10-2016;835;320775;12.58%;17-Oct;31-10-2017;685;333096;13.06%;18-Oct;31-10-2018;651
Veterans_Day;HIST;694047;25.10%;15-Nov;11-11-2015;157;633481;22.91%;16-Nov;11-11-2016;248;540793;19.56%;17-Nov;11-11-2017;262;;;;;
Guy_Fawkes_Night;HIST;651346;17.05%;15-Nov;5-11-2015;174;621892;16.28%;16-Nov;5-11-2016;255;565119;14.79%;17-Nov;5-11-2017;237;;;;;
Kwanzaa;HIST;747740;18.60%;15-Dec;26-12-2015;169;675753;16.81%;16-Dec;26-12-2016;225;983445;24.47%;17-Dec;26-12-2017;101;;;;;
Saint_Valentine;HIST;512255;22.68%;16-Feb;14-02-2016;353;582941;25.81%;17-Feb;14-02-2017;256;542146;24.00%;18-Feb;14-02-2018;280;;;;;
International_Women's_Day;HIST;1009454;23.16%;16-Mar;8-3-2016;84;1188165;27.26%;17-Mar;8-3-2017;48;1205447;27.65%;18-Mar;8-3-2018;60;;;;;
Ides_of_March;HIST;936792;25.58%;16-Mar;15-03-2016;96;637868;17.42%;17-Mar;15-03-2017;177;594275;16.23%;18-Mar;15-03-2018;240;;;;;
Mother's_Day;HIST;1043934;15.43%;16-May;8-5-2016;61;1127090;16.66%;17-May;14-05-2017;100;1244114;18.39%;18-May;13-05-2018;72;;;;;
420_(cannabis_culture);HIST;1233973;19.32%;16-Apr;20-04-2016;47;789991;12.37%;17-Apr;20-04-2017;110;977506;15.30%;18-Apr;20-04-2018;81;;;;;
April_Fools'_Day;HIST;966284;23.52%;16-Apr;1-4-2016;79;778799;18.96%;17-Apr;1-4-2017;115;702683;17.11%;18-Apr;1-4-2018;152;;;;;
Blue_Monday_(date);HIST;266976;24.28%;16-Jan;18-01-2016;Not in the Top 1000;354678;32.26%;17-Jan;16-01-2017;905;244883;22.27%;18-Jan;15-01-2018;Not in the Top 1000;;;;;
World_Environment_Day;HIST;244284;15.23%;16-Jun;5-6-2016;Not in the Top 1000;265847;16.57%;17-Jun;5-6-2017;938;222054;13.84%;18-Jun;5-6-2018;Not in the Top 1000;;;;;
Chinese_zodiac;HIST;280652;7.56%;16-Feb;8-2-2016;Not in the Top 1000;327671;8.82%;17-Jan;28-01-2017;Not in the Top 1000;302398;8.14%;18-Feb;16-02-2018;792;;;;;
Independence_Day_(United_States);NAT;1503133;18.81%;15-Jul;4-7-2015;31;1401992;17.55%;16-Jul;4-7-2016;43;1214697;15.20%;17-Jul;4-7-2017;51;;;;;
Independence_Day_(India);NAT;763791;14.70%;15-Aug;14-08-2015;119;771316;14.84%;16-Aug;15-08-2016;145;925422;17.81%;17-Aug;15-08-2017;85;905103;17.42%;18-Aug;15-08-2018;86
Flag_of_India;NAT;372967;7.13%;16-Aug;15-08-2016;554;351921;6.73%;17-Aug;15-08-2017;513;418531;8.01%;18-Aug;14-08-2018;375;;;;;
Sweetest_Day;NAT;277218;23.98%;15-Oct;17-10-2015;914;212535;18.38%;16-Oct;15-10-2016;Not in the Top 1000;229928;19.89%;17-Oct;21-10-2017;Not in the Top 1000;;;;;
Black_Friday_(shopping);NAT;1631329;25.17%;15-Nov;27-11-2015;33;1692716;26.12%;16-Nov;25-11-2016;58;1254166;19.35%;17-Nov;24-11-2017;47;;;;;
Festivus;NAT;671634;26.45%;15-Dec;23-12-2015;196;537333;21.16%;16-Dec;23-12-2016;335;455237;17.93%;17-Dec;23-12-2017;385;;;;;
Republic_Day_(India);NAT;1116314;24.37%;16-Jan;26-01-2016;96;1022429;22.32%;17-Jan;26-01-2017;143;1057481;23.09%;18-Jan;26-01-2018;99;;;;;
Groundhog_Day;NAT;1044618;25.32%;16-Feb;2-2-2016;90;798529;19.35%;17-Feb;2-2-2017;142;660526;16.01%;18-Feb;2-2-2018;203;;;;;
Australia_Day;NAT;291340;18.35%;16-Jan;26-01-2016;Not in the Top 1000;284849;17.94%;17-Jan;26-01-2017;Not in the Top 1000;329710;20.77%;18-Jan;26-01-2018;883;;;;;
Anzac_Day;NAT;230683;13.81%;16-Apr;25-04-2016;Not in the Top 1000;230777;13.82%;17-Apr;25-04-2017;Not in the Top 1000;368310;22.06%;18-Apr;25-04-2018;556;;;;;
Ramadan;REL;1156870;14.50%;16-Jun;6-6-2016;60;920050;11.53%;17-May;27-05-2017;126;1098888;13.77%;18-May;16-05-2018;88;;;;;
Raksha_Bandhan;REL;526689;18.55%;15-Aug;29-08-2015;246;492694;17.35%;16-Aug;18-08-2016;330;435810;15.35%;17-Aug;7-8-2017;320;422164;14.87%;18-Aug;26-08-2018;368
Halloween;REL;2758588;17.53%;15-Oct;31-10-2015;11;2478344;15.75%;16-Oct;31-10-2016;20;2539109;16.14%;17-Oct;31-10-2017;14;2315715;14.72%;18-Oct;31-10-2018;20
Diwali;REL;1481778;17.31%;15-Nov;11-11-2015;41;1346381;15.73%;16-Oct;30-10-2016;48;1579127;18.45%;17-Oct;19-10-2017;25;;;;;
Thanksgiving;REL;1998489;21.63%;15-Nov;26-11-2015;26;1981063;21.44%;16-Nov;24-11-2016;48;1582239;17.13%;17-Nov;23-11-2017;31;;;;;
Thanksgiving_(United_States);REL;849218;19.38%;15-Nov;26-11-2015;116;1041036;23.76%;16-Nov;24-11-2016;111;763382;17.43%;17-Nov;23-11-2017;129;;;;;
Christmas;REL;1496106;17.51%;15-Dec;25-12-2015;45;1358855;15.90%;16-Dec;25-12-2016;55;1264263;14.79%;17-Dec;25-12-2017;63;;;;;
Santa_Claus;REL;1089350;18.67%;15-Dec;25-12-2015;84;1119099;19.18%;16-Dec;25-12-2016;78;899250;15.41%;17-Dec;25-12-2017;109;;;;;
Boxing_Day;REL;1370140;22.61%;15-Dec;26-12-2015;58;1559247;25.74%;16-Dec;26-12-2016;44;1422028;23.47%;17-Dec;26-12-2017;46;;;;;
The_Twelve_Days_of_Christmas_(song);REL;1214912;24.37%;15-Dec;17-12-2015;76;966088;19.38%;16-Dec;25-12-2016;105;926200;18.58%;17-Dec;25-12-2017;107;;;;;
Hanukkah;REL;1045792;19.34%;15-Dec;7-12-2015;90;1270951;23.50%;16-Dec;25-12-2016;59;1009699;18.67%;17-Dec;13-12-2017;95;;;;;
The_Elf_on_the_Shelf;REL;490136;23.19%;15-Dec;1-12-2015;369;395070;18.69%;16-Dec;1-12-2016;594;376437;17.81%;17-Dec;1-12-2017;544;;;;;
Saint_Nicholas;REL;436119;13.94%;15-Dec;6-12-2015;459;509723;16.29%;16-Dec;6-12-2016;376;596654;19.07%;17-Dec;25-12-2017;228;;;;;
A_Christmas_Carol;REL;404072;13.71%;15-Dec;25-12-2015;531;425488;14.44%;16-Dec;24-12-2016;519;407727;13.83%;17-Dec;25-12-2017;450;;;;;
List_of_Christmas_carols;REL;356362;16.76%;15-Dec;22-12-2015;663;579197;27.25%;16-Dec;24-12-2016;298;360715;16.97%;17-Dec;24-12-2017;580;;;;;
Rudolph_the_Red-Nosed_Reindeer;REL;330553;22.12%;15-Dec;2-12-2015;749;306285;20.50%;16-Dec;11-12-2016;930;255318;17.09%;17-Dec;25-12-2017;Not in the Top 1000;;;;;
Yule;REL;314383;19.14%;15-Dec;26-12-2015;824;350309;21.33%;16-Dec;21-12-2016;729;303943;18.51%;17-Dec;21-12-2017;821;;;;;
Makar_Sankranti;REL;486231;25.03%;16-Jan;14-01-2016;447;393952;20.28%;17-Jan;14-01-2017;753;437386;22.51%;18-Jan;14-01-2018;539;;;;;
Epiphany_(holiday);REL;471043;18.41%;16-Jan;6-1-2016;481;513828;20.09%;17-Jan;6-1-2017;469;397298;15.53%;18-Jan;6-1-2018;648;;;;;
Ash_Wednesday;REL;736546;21.56%;16-Feb;10-2-2016;201;679288;19.88%;17-Mar;1-3-2017;162;845087;24.73%;18-Feb;14-02-2018;116;;;;;
Mardi_Gras;REL;598756;13.86%;16-Feb;9-2-2016;273;627393;14.52%;17-Feb;28-02-2017;224;495193;11.46%;18-Feb;13-02-2018;332;;;;;
Lent;REL;578694;15.42%;16-Feb;10-2-2016;291;557369;14.85%;17-Mar;1-3-2017;251;555312;14.80%;18-Feb;14-02-2018;266;;;;;
Shrove_Tuesday;REL;502237;23.61%;16-Feb;9-2-2016;370;454523;21.37%;17-Feb;28-02-2017;420;377367;17.74%;18-Feb;13-02-2018;533;;;;;
Saint_Patrick's_Day;REL;2498298;25.35%;16-Mar;17-03-2016;14;3057470;31.02%;17-Mar;17-03-2017;11;2178334;22.10%;18-Mar;17-03-2018;13;;;;;
Good_Friday;REL;1004724;28.13%;16-Mar;25-03-2016;85;770663;21.57%;17-Apr;14-04-2017;116;741030;20.74%;18-Mar;30-03-2018;145;;;;;
Saint_Patrick;REL;804088;19.44%;16-Mar;17-03-2016;133;960322;23.21%;17-Mar;17-03-2017;76;721780;17.45%;18-Mar;17-03-2018;157;;;;;
Maundy_Thursday;REL;429059;25.06%;16-Mar;24-03-2016;470;440232;25.71%;17-Apr;13-04-2017;361;346566;20.24%;18-Mar;29-03-2018;661;;;;;
Maha_Shivaratri;REL;409399;22.73%;16-Mar;7-3-2016;512;445102;24.72%;17-Feb;24-02-2017;445;420184;23.33%;18-Feb;13-02-2018;442;;;;;
Palm_Sunday;REL;358836;21.00%;16-Mar;20-03-2016;659;546212;31.97%;17-Apr;9-4-2017;239;349064;20.43%;18-Mar;25-03-2018;647;;;;;
Krishna_Janmashtami;REL;192053;13.74%;15-Sep;5-9-2015;Not in the Top 1000;284297;20.34%;16-Aug;25-08-2016;929;195372;13.98%;17-Aug;14-08-2017;Not in the Top 1000;;;;;
Twelve_Days_of_Christmas;REL;217444;16.50%;15-Dec;23-12-2015;Not in the Top 1000;237887;18.06%;16-Dec;26-12-2016;Not in the Top 1000;331311;25.15%;17-Dec;26-12-2017;680;;;;;
Winter_solstice;SCI;437950;18.92%;15-Dec;22-12-2015;452;357337;15.44%;16-Dec;21-12-2016;700;357372;15.44%;17-Dec;21-12-2017;590;;;;;
Pi;SCI;473709;6.35%;16-Mar;14-03-2016;393;451860;6.05%;17-Mar;14-03-2017;399;492347;6.60%;18-Mar;14-03-2018;335;;;;;
Summer_solstice;SCI;246606;13.46%;16-Jun;20-06-2016;Not in the Top 1000;297517;16.24%;17-Jun;21-06-2017;744;361203;19.72%;18-Jun;21-06-2018;592;;;;;
Tour_de_France;SPORT;556811;15.04%;15-Jul;26-07-2015;253;499044;13.48%;16-Jul;24-07-2016;309;487581;13.17%;17-Jul;23-07-2017;309;;;;;
Chris_Froome;SPORT;478328;17.71%;15-Jul;26-07-2015;338;433755;16.06%;16-Jul;24-07-2016;407;449842;16.66%;17-Jul;23-07-2017;367;;;;;
