Swami_Vivekananda;BIRTH;441650;6.50%;16-Jan;12-1-2016;533;408883;6.02%;17-Jan;12-1-2017;693;414305;6.10%;18-Jan;12-1-2018;603
Kirsty_MacColl;DEATH;243339;14.20%;15-Dec;25-12-2015;Not in the Top 1000;236863;13.82%;16-Dec;25-12-2016;Not in the Top 1000;300509;17.53%;17-Dec;20-12-2017;836
Guy_Fawkes_Night;HIST;651346;17.05%;15-Nov;5-11-2015;174;621892;16.28%;16-Nov;5-11-2016;255;565119;14.79%;17-Nov;5-11-2017;237
Saint_Valentine;HIST;512255;22.68%;16-Feb;14-02-2016;353;582941;25.81%;17-Feb;14-02-2017;256;542146;24.00%;18-Feb;14-02-2018;280
International_Women's_Day;HIST;1009454;23.16%;16-Mar;8-3-2016;84;1188165;27.26%;17-Mar;8-3-2017;48;1205447;27.65%;18-Mar;8-3-2018;60
World_Environment_Day;HIST;244284;15.23%;16-Jun;5-6-2016;Not in the Top 1000;265847;16.57%;17-Jun;5-6-2017;938;222054;13.84%;18-Jun;5-6-2018;Not in the Top 1000
Republic_Day_(India);NAT;1116314;24.37%;16-Jan;26-01-2016;96;1022429;22.32%;17-Jan;26-01-2017;143;1057481;23.09%;18-Jan;26-01-2018;99
Australia_Day;NAT;291340;18.35%;16-Jan;26-01-2016;Not in the Top 1000;284849;17.94%;17-Jan;26-01-2017;Not in the Top 1000;329710;20.77%;18-Jan;26-01-2018;883
Diwali;REL;1481778;17.31%;15-Nov;11-11-2015;41;1346381;15.73%;16-Oct;30-10-2016;48;1579127;18.45%;17-Oct;19-10-2017;25
Christmas;REL;1496106;17.51%;15-Dec;25-12-2015;45;1358855;15.90%;16-Dec;25-12-2016;55;1264263;14.79%;17-Dec;25-12-2017;63
Boxing_Day;REL;1370140;22.61%;15-Dec;26-12-2015;58;1559247;25.74%;16-Dec;26-12-2016;44;1422028;23.47%;17-Dec;26-12-2017;46
Hanukkah;REL;1045792;19.34%;15-Dec;7-12-2015;90;1270951;23.50%;16-Dec;25-12-2016;59;1009699;18.67%;17-Dec;13-12-2017;95
A_Christmas_Carol;REL;404072;13.71%;15-Dec;25-12-2015;531;425488;14.44%;16-Dec;24-12-2016;519;407727;13.83%;17-Dec;25-12-2017;450
Yule;REL;314383;19.14%;15-Dec;26-12-2015;824;350309;21.33%;16-Dec;21-12-2016;729;303943;18.51%;17-Dec;21-12-2017;821
Makar_Sankranti;REL;486231;25.03%;16-Jan;14-01-2016;447;393952;20.28%;17-Jan;14-01-2017;753;437386;22.51%;18-Jan;14-01-2018;539
Lent;REL;578694;15.42%;16-Feb;10-2-2016;291;557369;14.85%;17-Mar;1-3-2017;251;555312;14.80%;18-Feb;14-02-2018;266
Maha_Shivaratri;REL;409399;22.73%;16-Mar;7-3-2016;512;445102;24.72%;17-Feb;24-02-2017;445;420184;23.33%;18-Feb;13-02-2018;442
Winter_solstice;SCI;437950;18.92%;15-Dec;22-12-2015;452;357337;15.44%;16-Dec;21-12-2016;700;357372;15.44%;17-Dec;21-12-2017;590
Pi;SCI;473709;6.35%;16-Mar;14-03-2016;393;451860;6.05%;17-Mar;14-03-2017;399;492347;6.60%;18-Mar;14-03-2018;335
Chris_Froome;SPORT;478328;17.71%;15-Jul;26-07-2015;338;433755;16.06%;16-Jul;24-07-2016;407;449842;16.66%;17-Jul;23-07-2017;367
Australian_Open;SPORT;371815;13.35%;16-Jan;31-01-2016;724;450308;16.16%;17-Jan;29-01-2017;587;399399;14.34%;18-Jan;28-01-2018;639
Masters_Tournament;SPORT;480286;18.43%;16-Apr;10-4-2016;330;464594;17.82%;17-Apr;9-4-2017;324;556688;21.36%;18-Apr;8-4-2018;244
Bing_Crosby;TVMOV;647972;11.68%;15-Dec;25-12-2015;204;645371;11.63%;16-Dec;25-12-2016;240;744287;13.41%;17-Dec;25-12-2017;145
A_Christmas_Story;TVMOV;501552;21.04%;15-Dec;25-12-2015;353;496872;20.85%;16-Dec;25-12-2016;391;555169;23.29%;17-Dec;25-12-2017;263
White_Christmas_(film);TVMOV;363401;21.46%;15-Dec;25-12-2015;637;388667;22.95%;16-Dec;25-12-2016;610;404731;23.90%;17-Dec;25-12-2017;462
Elf_(film);TVMOV;358797;17.69%;15-Dec;25-12-2015;647;308470;15.21%;16-Dec;25-12-2016;917;338628;16.70%;17-Dec;25-12-2017;651
National_Lampoon's_Christmas_Vacation;TVMOV;350807;17.88%;15-Dec;25-12-2015;685;370349;18.87%;16-Dec;25-12-2016;662;356155;18.15%;17-Dec;25-12-2017;594
The_Polar_Express_(film);TVMOV;327815;15.25%;15-Dec;6-12-2015;763;357297;16.63%;16-Dec;24-12-2016;701;327824;15.25%;17-Dec;25-12-2017;690
Eurovision_Song_Contest;TVMOV;550794;17.20%;16-May;14-05-2016;258;451646;14.11%;17-May;13-05-2017;427;494335;15.44%;18-May;12-5-2018;359
List_of_Eurovision_Song_Contest_winners;TVMOV;361922;17.50%;16-May;14-05-2016;580;334600;16.17%;17-May;13-05-2017;758;401454;19.41%;18-May;12-5-2018;546
Triple_Crown_of_Thoroughbred_Racing;TVMOV;286159;16.15%;16-May;7-5-2016;921;294518;16.63%;17-May;6-5-2017;957;261716;14.77%;18-May;19-05-2018;Not in the Top 1000
Peter_Billingsley;TVMOV;270312;20.81%;15-Dec;25-12-2015;Not in the Top 1000;283129;21.80%;16-Dec;25-12-2016;Not in the Top 1000;275965;21.25%;17-Dec;25-12-2017;1000
